description,category,merchant_base
PMT PLAYSTATION NETWORK Iasi #4321,Entertainment,PlayStation Network
PMT MasterClass annual EU RID:34521,Subscriptions,MasterClass annual
Plata POS STB Abonament Online AFI Cotroceni RO,Transport,STB Abonament Online
PURCHASE Uber Downtown 12345,Transport,Uber
PURCHASE PLATA CHIRIE Vitan RID:34521,Housing,Plata chirie
PURCHASE HOTEL ATHENEE PALACE RO AUT:887412,Travel,Hotel Athenee Palace
Cumparare KRISPY KREME Vitan #14,Restaurants,Krispy Kreme
PMT SPORTISIMO Baneasa RO,Other,Sportisimo
Plata POS Carrefour Baneasa #001,Groceries,Carrefour
POS Salariu ACME SRL Galati #4321,Salary,Salariu ACME SRL
parcare aeroport otopeni Center (RO),Transport,Parcare Aeroport Otopeni
Achizitie Dr Dentist Branch 12 #14,Health,Dr Dentist
Cumparare Bonus performanta Q2 Floreasca #14,Salary,Bonus performanta Q2
Hervis Sports Constanta,Other,Hervis Sports
Plata POS DROPBOX PLUS Iasi (RO),Subscriptions,Dropbox Plus
salubrizare bucuresti Sun Plaza #001,Utilities,Salubrizare Bucuresti
Achizitie Salvati Copiii donatie EU #14,Other,Salvati Copiii donatie
Plata cu cardul Burger Van Constanta #4321,Restaurants,Burger Van
Achizitie NETFLIX PREMIUM ROM 12345,Subscriptions,Netflix Premium
Plata POS Pilon III pensie privata EU #001,Investments,Pilon III pensie privata
Achizitie DATACAMP Mall Vitan #001,Education,DataCamp
Cumparare Administrator bloc 12 Cluj (RO),Housing,Administrator bloc 12
Plata POS FOODPANDA Online 12345,Restaurants,FoodPanda
ENERGIEA BAR Promenada 12345,Restaurants,Energiea Bar
Cumparare CODECADEMY Bucuresti (RO),Education,Codecademy
Plata cu cardul BURGER KING Cluj #001,Restaurants,Burger King
Cumparare iaBilet Online RID:34521,Entertainment,iaBilet
PMT POS UPC Romania Branch 12 #14,Utilities,UPC Romania
Cumparare Brutaria Boromir Cotroceni #4321,Groceries,Brutaria Boromir
PMT POS AVANS CHIRIE AFI Cotroceni AUT:887412,Housing,Avans chirie
Aquatim Timisoara Park Lake #4321,Utilities,Aquatim Timisoara
PMT RATB Sibiu RO,Transport,RATB
PURCHASE CARREFOUR MARKET Downtown RID:34521,Groceries,Carrefour Market
Cumparare teatrul bulandra RO 12345,Entertainment,Teatrul Bulandra
PURCHASE VACCINARE CENTRUL MEDICAL Mall Vitan RO,Health,Vaccinare Centrul Medical
Achizitie medicover Drumul Taberei #14,Health,Medicover
Cumparare Aliexpress order Iasi #221,Other,Aliexpress order
PMT BikeRO Store 04 RID:34521,Transport,BikeRO
Plata cu cardul CORA Mall Vitan #14,Groceries,Cora
OTP virament Brasov RO,Transfer,OTP virament
PMT Squarespace Plan Online (RO),Subscriptions,Squarespace Plan
Eurospar Mall Vitan #001,Groceries,Eurospar
PMT Festival Untold Baneasa 12345,Entertainment,Festival Untold
Plata cu cardul Eurospar EU (RO),Groceries,Eurospar
Achizitie TARGUL DE LEGUME Iasi #221,Groceries,Targul de Legume
PMT Optica Quattro Branch 12 (RO),Health,Optica Quattro
Achizitie FARMACIA HELP Ploiesti #001,Health,Farmacia Help
PMT POS SERVICE AUTO ANDREI Galati 12345,Transport,Service Auto Andrei
Achizitie Vaccinare Centrul Medical AFI Cotroceni AUT:887412,Health,Vaccinare Centrul Medical
PMT POS curatenie casa Mall #221,Housing,Curatenie casa
Plata cu cardul AU BON PAIN Drumul Taberei AUT:887412,Restaurants,Au Bon Pain
PMT Dr Dentist Branch 12 #4321,Health,Dr Dentist
ABOUT YOU Center (RO),Other,About You
PMT spotify family Brasov RID:34521,Subscriptions,Spotify Family
Plata cu cardul Camin Bucuresti Timisoara 12345,Education,Camin Bucuresti
Achizitie niro market ROM (RO),Groceries,Niro Market
Achizitie SCOALA GENERALA 4 Bucharest RO,Education,Scoala Generala 4
Plata POS FIZIOTERAPIE SEDINTA Branch 12 RO,Health,Fizioterapie sedinta
PMT POS Karaoke Bar Avant Iasi (RO),Entertainment,Karaoke Bar Avant
SOCAR AFI Cotroceni RO,Transport,SOCAR
PURCHASE BISTRO VINTAGE Cotroceni #001,Restaurants,Bistro Vintage
Cumparare OMV PETROLSTATION Center #14,Transport,OMV PetrolStation
Achizitie BLACKROCK ISHARES Downtown #4321,Investments,BlackRock iShares
Achizitie ENGIE ROMANIA Oradea,Utilities,Engie Romania
POS family market Mall Vitan #001,Groceries,Family Market
POS Policlinica Titu Maiorescu Timisoara #001,Health,Policlinica Titu Maiorescu
Cumparare Evernote Personal Sibiu #221,Subscriptions,Evernote Personal
Cumparare TERMOFICARE CET EU,Utilities,Termoficare CET
Achizitie CARL'S JR Mall Vitan AUT:887412,Restaurants,Carl's Jr
POS cabinet veterinar pet doctor Iasi #4321,Other,Cabinet Veterinar Pet Doctor
Plata POS Sushi Now Constanta AUT:887412,Restaurants,Sushi Now
POS Escape Room Adventure Oradea #221,Entertainment,Escape Room Adventure
Plata POS FLORARIA MADA EU #14,Other,Floraria Mada
Electrica Furnizare EU (RO),Utilities,Electrica Furnizare
Achizitie ASOCIATIE LOCATARI SECT 1 Branch 12 RO,Housing,Asociatie locatari sect 1
PMT Carte tehnica online Cluj RO,Education,Carte tehnica online
Chirie luna iunie Galati (RO),Housing,Chirie luna iunie
Plata cu cardul fresh corner EU #221,Groceries,Fresh Corner
Achizitie BRUTARIA PAUL Pipera #001,Groceries,Brutaria Paul
Plata cu cardul RENT MAY Online #001,Housing,RENT MAY
PURCHASE CABINET STOMATOLOGIC BRIGHT Sun Plaza #001,Health,Cabinet Stomatologic Bright
PMT WordPress.com Premium Branch 12 RID:34521,Subscriptions,WordPress.com Premium
PMT REZERVARE AIRBNB CLUJ Online #001,Travel,Rezervare Airbnb Cluj
Achizitie youtube tv Baneasa AUT:887412,Subscriptions,YouTube TV
Achizitie INCASARE DE LA MARIA Oradea #001,Transfer,Incasare de la Maria
Plata cu cardul Joc PC Steam EU #4321,Entertainment,Joc PC Steam
PURCHASE Qatar Airways EU #4321,Travel,Qatar Airways
Achizitie ETSY PURCHASE Iasi 12345,Other,Etsy purchase
broker bt capital Mall AUT:887412,Investments,Broker BT Capital
Plata POS EasyJet Floreasca 12345,Travel,EasyJet
HOTEL ATHENEE PALACE Store 04 RO,Travel,Hotel Athenee Palace
Achizitie Piata Matache Branch 12 #221,Groceries,Piata Matache
POS dr. dent Aviatorilor,Health,Dr. Dent
ING Home'Bank transfer Pipera #14,Transfer,ING Home'Bank transfer
PMT Au Bon Pain Vitan (RO),Restaurants,Au Bon Pain
PMT Memrise Mall #14,Education,Memrise
PMT nike store Aviatorilor AUT:887412,Other,Nike store
PMT POS EDO SUSHI EU RO,Restaurants,Edo Sushi
POS mcd Baneasa AUT:887412,Restaurants,McD
Achizitie TURKISH AIRLINES Promenada RO,Travel,Turkish Airlines
POS Reserved RO Online #4321,Other,Reserved RO
Plata online generic Baneasa #001,Other,Plata online generic
PURCHASE Administrator bloc 12 Constanta,Housing,Administrator bloc 12
Plata cu cardul Property Manager fees Park Lake RO,Housing,Property Manager fees
Plata cu cardul Carturesti Online Store 04 #4321,Education,Carturesti Online
